종목코드,종목명
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005380,현대차
068270,셀트리온
000270,기아
105560,KB금융
035420,NAVER
329180,HD현대중공업
055550,신한지주
012330,현대모비스
010130,고려아연
005490,POSCO홀딩스
028260,삼성물산
138040,메리츠금융지주
032830,삼성생명
051910,LG화학
006400,삼성SDI
096770,SK이노베이션
035720,카카오
000810,삼성화재
086790,하나금융지주
009540,HD한국조선해양
011200,HMM
259960,크래프톤
012450,한화에어로스페이스
267260,HD현대일렉트릭
066570,LG전자
033780,KT&G
015760,한국전력
017670,SK텔레콤
042660,한화오션
024110,기업은행
003550,LG
316140,우리금융지주
034020,두산에너빌리티
030200,KT
003670,포스코퓨처엠
402340,SK스퀘어
010140,삼성중공업
323410,카카오뱅크
018260,삼성에스디에스
000100,유한양행
034730,SK
009150,삼성전기
086280,현대글로비스
326030,SK바이오팜
003490,대한항공
352820,하이브
042700,한미반도체
005830,DB손해보험
047050,포스코인터내셔널
090430,아모레퍼시픽
010950,S-Oil
267250,HD현대
003230,삼양식품
047810,한국항공우주
010620,HD현대미포
064350,현대로템
021240,코웨이
180640,한진칼
051900,LG생활건강
010120,LS ELECTRIC
161390,한국타이어앤테크놀로지
079550,LIG넥스원
006800,미래에셋증권
450080,에코프로머티
251270,넷마블
005940,NH투자증권
034220,LG디스플레이
032640,LG유플러스
029780,삼성카드
272210,한화시스템
000150,두산
241560,두산밥캣
036570,엔씨소프트
071050,한국금융지주
016360,삼성증권
302440,SK바이오사이언스
011790,SKC
271560,오리온
011070,LG이노텍
097950,CJ제일제당
078930,GS
298040,효성중공업
128940,한미약품
377300,카카오페이
035250,강원랜드
454910,두산로보틱스
138930,BNK금융지주
028050,삼성E&A
036460,한국가스공사
175330,JB금융지주
006260,LS
039490,키움증권
066970,엘앤에프
022100,포스코DX
001040,CJ
009830,한화솔루션
026960,동서
000720,현대건설
004020,현대제철
011170,롯데케미칼
081660,휠라홀딩스
011780,금호석유
004990,롯데지주
001450,현대해상
004370,농심
012750,에스원
002380,KCC
001440,대한전선
000880,한화
383220,F&F
088350,한화생명
052690,한전기술
051600,한전KPS
018880,한온시스템
017800,현대엘리베이
009420,한올바이오파마
008930,한미사이언스
006280,녹십자
000120,CJ대한통운
111770,영원무역
204320,HL만도
278470,에이피알
030000,제일기획
282330,BGF리테일
005070,코스모신소재
002790,아모레G
139480,이마트
192820,코스맥스
028670,팬오션
112610,씨에스윈드
000240,한국앤컴퍼니
006360,GS건설
007310,오뚜기
023530,롯데쇼핑
361610,SK아이이테크놀로지
489790,한화인더스트리얼솔루션즈
004170,신세계
005850,에스엘
001570,금양
073240,금호타이어
139130,DGB금융지주
161890,한국콜마
069620,대웅제약
042670,HD현대인프라코어
008770,호텔신라
007070,GS리테일
000080,하이트진로
103140,풍산
003090,대웅
137310,에스디바이오센서
185750,종근당
192080,더블유게임즈
047040,대우건설
014820,동원시스템즈
010060,OCI홀딩스
009970,영원무역홀딩스
375500,DL이앤씨
009240,한샘
005300,롯데칠성
457190,이수스페셜티케미컬
004000,롯데정밀화학
336260,두산퓨얼셀
004490,세방전지
298020,효성티앤씨
011210,현대위아
014680,한솔케미칼
001120,LX인터내셔널
300720,한일시멘트
280360,롯데웰푸드
069960,현대백화점
005250,녹십자홀딩스
001740,SK네트웍스
039130,하나투어
001800,오리온홀딩스
298050,HS효성첨단소재
002840,미원상사
145720,덴티움
120110,코오롱인더
114090,GKL
069260,TKG휴켐스
003620,KG모빌리티
003030,세아제강지주
002710,TCC스틸
001680,대상
001430,세아베스틸지주
000210,DL
285130,SK케미칼
105630,한세실업
456040,OCI
093370,후성
008730,율촌화학
178920,PI첨단소재
006110,삼아알미늄
005420,코스모화학
271940,일진하이솔루스
006650,대한유화
